clip_id,best_lag,zero_lag_iou,peak_iou,improvement,headroom_recovered,peak_margin,n_models,model_spread,vad_lag,vad_agrees,duration,flagged,reason
VKY0uuZ6Om8__575_935,5.0,0.9439984560012817,0.975062906742096,0.03106445074081421,0.5547070406045447,0.026555538177490234,3,9.92,5.0,True,360.0,True,strong candidate
2iMXYxBTwbM__339_401,4.64,0.6914351582527161,0.959333062171936,0.26789790391921997,0.8682061844836801,0.13503926992416382,3,0.009999999999999787,4.5600000000000005,True,62.0,True,strong candidate
8r2Nltl0W4o__259_320,-4.58,0.9431053996086121,0.9720329642295837,0.02892756462097168,0.5084413006150652,0.020938336849212646,3,0.2599999999999998,-1.9100000000000001,False,61.0,True,strong candidate
7YfsQPYY-W0__351_411,4.5200000000000005,0.9278212785720825,0.988878607749939,0.061057329177856445,0.8459186858668921,0.03535240888595581,3,0.23000000000000043,4.5,True,60.0,True,strong candidate
PRAzUz0GANs__223_283,4.36,0.9378229975700378,0.9869220852851868,0.049099087715148926,0.7896663685332121,0.037834346294403076,3,2.23,4.3,True,60.0,True,strong candidate
4Qg2jWP6_T0__136_202,4.04,0.8367883563041687,0.9396206736564636,0.10283231735229492,0.6300550317594861,0.07263970375061035,3,0.20999999999999996,4.07,True,66.0,True,strong candidate
7k-xDqNjESc__73_981,4.01,0.875363290309906,0.9394301176071167,0.0640668272972107,0.5140285511107541,0.04771840572357178,3,0.1900000000000004,4.07,True,908.0,True,strong candidate
IAm1rt-MYcA__4_558,3.98,0.8701244592666626,0.9626641273498535,0.09253966808319092,0.7125257578191331,0.043048202991485596,3,0.040000000000000036,4.03,True,554.0,True,strong candidate
L7xRazDdtgw__19_83,3.92,0.6446313261985779,0.8610278964042664,0.21639657020568848,0.6089354131608392,0.10829746723175049,3,0.08000000000000007,3.91,True,64.0,True,strong candidate
ARCKJrGkITw__14_496,3.91,0.9517011642456055,0.9885458946228027,0.036844730377197266,0.7628492447428177,0.027370214462280273,3,0.5200000000000005,3.87,True,482.0,True,strong candidate
7c9ePKgqams__299_869,3.7600000000000002,0.9193548560142517,0.9686377644538879,0.04928290843963623,0.6111081957810822,0.03942573070526123,3,0.10999999999999988,3.73,True,570.0,True,strong candidate
37dND_0r6S8__60_222,3.73,0.9298061728477478,0.9738414883613586,0.04403531551361084,0.6273388601265054,0.02612203359603882,3,1.2999999999999998,3.67,True,162.0,True,strong candidate
87Zbup3ohcw__106_445,3.63,0.8734050393104553,0.9571610689163208,0.08375602960586548,0.6616063479119417,0.04814940690994263,3,0.54,3.58,True,339.0,True,strong candidate
LqQHdo7t5Ps__198_498,3.47,0.9518983960151672,0.9834436178207397,0.03154522180557251,0.6558039481494057,0.026687026023864746,3,3.47,3.56,True,300.0,True,strong candidate
7L4gi7Ncc0s__90_148,3.02,0.899982750415802,0.9761001467704773,0.07611739635467529,0.7610426868477024,0.03549879789352417,3,3.02,3.0700000000000003,True,58.0,True,strong candidate
OXUt5KnlUMo__91_181,3.0,0.8965440392494202,0.9596620798110962,0.06311804056167603,0.6100957364249529,0.044808268547058105,3,5.48,2.96,True,90.0,True,strong candidate
LBIWBxQ5H1s__90_1020,3.0,0.9150561690330505,0.9719046950340271,0.05684852600097656,0.6692484357468594,0.044367074966430664,3,0.040000000000000036,3.0700000000000003,True,930.0,True,strong candidate
6ZeRgvDHwcI__6_100,2.98,0.554302990436554,0.7701593637466431,0.2158563733100891,0.48431191746500024,0.18337535858154297,3,0.03000000000000025,2.97,True,94.0,True,strong candidate
0p6cktLGIfY__12_930,2.91,0.7859874367713928,0.9604021310806274,0.17441469430923462,0.814974091604733,0.057534098625183105,3,2.09,2.86,True,918.0,True,strong candidate
JBYGLQJwFDc__103_407,2.8000000000000003,0.753673255443573,0.9420776963233948,0.18840444087982178,0.7648558065389577,0.07881385087966919,3,2.8000000000000003,2.7600000000000002,True,304.0,True,strong candidate
Bngfppo1QtA__28_927,2.45,0.916822612285614,0.956428050994873,0.03960543870925903,0.4761563184125949,0.025683164596557617,3,0.040000000000000036,2.47,True,899.0,True,strong candidate
VY_4x1scS-Y__13_121,2.38,0.9384972453117371,0.9731453061103821,0.03464806079864502,0.5633578686721359,0.025886714458465576,3,2.38,2.44,True,108.0,True,strong candidate
2HGP34TNvjg__84_194,2.24,0.8422287106513977,0.9086798429489136,0.06645113229751587,0.42118646917240626,0.0373879075050354,3,2.68,2.32,True,110.0,True,strong candidate
ExGJodnzocM__212_527,2.14,0.9156680107116699,0.9588239192962646,0.04315590858459473,0.5117382970422432,0.036644041538238525,3,2.86,2.23,True,315.0,True,strong candidate
6f6TLzlP8Wk__82_144,2.07,0.8404392600059509,0.9552079439163208,0.11476868391036987,0.7192789649549773,0.07063823938369751,3,0.040000000000000036,2.07,True,62.0,True,strong candidate
Gq45evw6ytY__597_1464,2.02,0.8982256650924683,0.9615004062652588,0.06327474117279053,0.621716086184985,0.04918217658996582,3,1.4900000000000002,1.98,True,867.0,True,strong candidate
PSIzXy5-y2E__2_918,2.0,0.8334159255027771,0.9383305907249451,0.10491466522216797,0.6298000906678326,0.06577801704406738,3,0.22999999999999998,2.0300000000000002,True,916.0,True,strong candidate
0SoItGfM_sY__7_88,1.93,0.7700205445289612,0.8983808159828186,0.12836027145385742,0.558137991895636,0.042112112045288086,3,0.4099999999999999,2.0300000000000002,True,81.0,True,strong candidate
DPmew0didIM__191_512,1.93,0.8825643658638,0.9474095106124878,0.06484514474868774,0.5521760513804642,0.04274463653564453,3,0.020000000000000018,1.87,True,321.0,True,strong candidate
IfTL8SSN270__62_671,1.81,0.9425514340400696,0.9741588830947876,0.03160744905471802,0.5501869111365422,0.024546146392822266,3,0.050000000000000044,1.87,True,609.0,True,strong candidate
RL2fhIEEbZg__66_1034,1.56,0.9276400804519653,0.9663183689117432,0.03867828845977783,0.5345264160237496,0.0320889949798584,3,0.040000000000000036,1.49,True,968.0,True,strong candidate
HpYG46tGyYs__103_998,1.47,0.9306116700172424,0.9678218960762024,0.03721022605895996,0.5362605796710541,0.020940303802490234,3,1.47,1.61,True,895.0,True,strong candidate
Jc5AVwg2cZM__153_214,1.44,0.6912671327590942,0.9405900835990906,0.24932295083999634,0.8075685399748788,0.1224927306175232,3,0.1200000000000001,1.47,True,61.0,True,strong candidate
Tlha36rSd5o__240_374,1.37,0.8495522141456604,0.9412892460823059,0.09173703193664551,0.6097599337584362,0.0530967116355896,3,0.040000000000000036,1.26,True,134.0,True,strong candidate
Cku_X_SL7qU__60_660,1.31,0.6684258580207825,0.7957630753517151,0.12733721733093262,0.38403844332020887,0.07669305801391602,3,0.030000000000000027,1.4000000000000001,True,600.0,True,strong candidate
T3I2T-cfhG4__160_210,1.31,0.9037807583808899,0.963308572769165,0.059527814388275146,0.6186685052447174,0.03999018669128418,3,1.33,1.3900000000000001,True,50.0,True,strong candidate
0VEwL9XZ0LY__261_557,1.24,0.879701554775238,0.9641573429107666,0.08445578813552856,0.7020522000740237,0.05837225914001465,3,1.19,1.33,True,296.0,True,strong candidate
2T4pjueLrsk__677_1290,1.18,0.7846639752388,0.9284967184066772,0.1438327431678772,0.6679455670614456,0.09711015224456787,3,0.030000000000000027,1.1500000000000001,True,613.0,True,strong candidate
86mMTUeDiR8__181_1079,1.02,0.7936781048774719,0.937587320804596,0.14390921592712402,0.6974985172643013,0.09473836421966553,3,0.020000000000000018,0.96,True,898.0,True,strong candidate
83gP2vLH7UY__255_2005,4.12,0.946977436542511,0.9920751452445984,0.0450977087020874,0.8505380683498001,0.01752638816833496,3,0.23000000000000043,4.11,True,1750.0,False,peak margin 0.018 below 0.02
BYLcUGNB_zM__20_1387,4.03,0.9713816046714783,0.9911378622055054,0.0197562575340271,0.6903342171088669,0.008978486061096191,3,4.04,3.98,True,1367.0,False,peak margin 0.009 below 0.02
NLgHpYyf5bY__313_383,3.93,0.9254179000854492,0.9411227703094482,0.015704870223999023,0.21057157470749951,0.0033258795738220215,3,2.88,4.07,True,70.0,False,"recovers 0.21 of headroom, below 0.35; peak margin 0.003 below 0.02"
EmsKkNN2Me4__35_95,3.0300000000000002,0.9403285384178162,0.9564907550811768,0.016162216663360596,0.27085337336845394,0.013557910919189453,3,0.020000000000000018,3.0700000000000003,True,60.0,False,"recovers 0.27 of headroom, below 0.35; peak margin 0.014 below 0.02"
7WhVNRHbjIY__91_1089,2.89,0.9766302108764648,0.9905805587768555,0.013950347900390625,0.596939400122424,0.006651103496551514,3,1.1600000000000006,2.96,True,998.0,False,peak margin 0.007 below 0.02
GfFLEIAAumk__90_163,2.87,0.9569745063781738,0.9709603190422058,0.013985812664031982,0.3250587381276945,0.004584252834320068,3,6.52,3.14,True,73.0,False,"recovers 0.33 of headroom, below 0.35; peak margin 0.005 below 0.02"
Kdi-ECuOaKg__2_78,2.0,0.49165621399879456,0.6348982453346252,0.1432420313358307,0.2817818084541138,0.07401120662689209,3,4.1,-5.0,False,76.0,False,"recovers 0.28 of headroom, below 0.35"
Ig6szCD8m20__46_106,2.0,0.9634939432144165,0.9805926084518433,0.017098665237426758,0.46837885937270396,0.007912099361419678,3,0.08000000000000007,2.0100000000000002,True,60.0,False,peak margin 0.008 below 0.02
QuA_B6IZ6Ls__61_1863,1.87,0.9427786469459534,0.9560084342956543,0.013229787349700928,0.23120367910918058,0.00749737024307251,3,2.33,2.0,True,1802.0,False,"recovers 0.23 of headroom, below 0.35; peak margin 0.007 below 0.02"
NuhdqCEuIBo__197_540,1.86,0.961992084980011,0.9817569255828857,0.019764840602874756,0.520019069514339,0.014362752437591553,3,0.2699999999999998,1.85,True,343.0,False,peak margin 0.014 below 0.02
U_EHjxThUgc__181_289,1.84,0.9666635990142822,0.9808294773101807,0.014165878295898438,0.42493724208463557,0.005940139293670654,3,1.85,1.81,True,108.0,False,peak margin 0.006 below 0.02
TU3M6wSQV_g__99_171,1.84,0.9834699034690857,0.9944093823432922,0.010939478874206543,0.6617915904936015,0.00847405195236206,3,1.85,1.78,True,72.0,False,peak margin 0.008 below 0.02
9_GMxc_JjyI__236_368,1.3800000000000001,0.9574984908103943,0.9866749048233032,0.029176414012908936,0.6864794820049449,0.019562482833862305,3,2.6100000000000003,1.3800000000000001,True,132.0,False,peak margin 0.020 below 0.02
ARZl7LT0UC0__73_130,1.0,0.9585747122764587,0.9717625975608826,0.013187885284423828,0.3183534987719442,0.0004788041114807129,3,2.26,-3.58,False,57.0,False,"recovers 0.32 of headroom, below 0.35; peak margin 0.000 below 0.02"
2LN6vb7EBn0__98_394,0.8200000000000001,0.8860182762145996,0.9515628218650818,0.06554454565048218,0.5750443445993716,0.05204784870147705,3,4.74,0.75,True,296.0,False,lag +0.82s below 1.0s
90uAd6xpTPo__16_408,0.8200000000000001,0.9570053815841675,0.9843546152114868,0.027349233627319336,0.6361082999459332,0.017980754375457764,3,1.99,0.76,True,392.0,False,lag +0.82s below 1.0s; peak margin 0.018 below 0.02
Iare1Emeueg__16_69,0.68,0.5894227027893066,0.7767410278320312,0.1873183250427246,0.45623157031646505,0.07836461067199707,3,3.7800000000000002,0.63,True,53.0,False,lag +0.68s below 1.0s
FDMf9ApmoNU__16_686,0.68,0.8286017775535583,0.9419395923614502,0.11333781480789185,0.6612543186864586,0.09163111448287964,3,0.020000000000000018,0.72,True,670.0,False,lag +0.68s below 1.0s
GEc_sS2KWo8__96_290,0.66,0.7807675004005432,0.8805516958236694,0.09978419542312622,0.45515238664629754,0.07630908489227295,3,3.3600000000000003,0.77,True,194.0,False,lag +0.66s below 1.0s
G6qzg93FxwE__21_116,0.55,0.9438380599021912,0.9596143364906311,0.01577627658843994,0.2809069017374536,0.014952003955841064,3,0.6299999999999999,0.5,True,95.0,False,"lag +0.55s below 1.0s; recovers 0.28 of headroom, below 0.35; peak margin 0.015 below 0.02"
VHlIFsHPWbk__23_470,0.54,0.970353364944458,0.9895897507667542,0.019236385822296143,0.6488556217681166,0.01773655414581299,3,0.07999999999999996,0.65,True,447.0,False,lag +0.54s below 1.0s; peak margin 0.018 below 0.02
KPkRi3GM7fs__47_642,0.48,0.9263339638710022,0.9679442644119263,0.04161030054092407,0.5648505434452804,0.04257619380950928,3,0.28,0.59,True,595.0,False,lag +0.48s below 1.0s
B2ScTgeIIck__117_180,-0.47000000000000003,0.908886730670929,0.9101051092147827,0.0012183785438537598,0.013372130676744556,0.004450798034667969,3,7.290000000000001,1.83,False,63.0,False,"lag -0.47s below 1.0s; IoU gain 0.001 below 0.01; recovers 0.01 of headroom, below 0.35; peak margin 0.004 below 0.02"
0AEEA8NyVwY__11_609,0.38,0.8785811066627502,0.920992374420166,0.04241126775741577,0.34929710353738286,0.052079856395721436,3,4.62,0.35000000000000003,True,598.0,False,"lag +0.38s below 1.0s; recovers 0.35 of headroom, below 0.35"
LK23jX9tgZM__59_221,0.36,0.9089034795761108,0.9707037806510925,0.06180030107498169,0.678404628271347,0.07312774658203125,3,0.74,0.4,True,162.0,False,lag +0.36s below 1.0s
HZv_WvIr6lE__21_105,0.32,0.9527644515037537,0.9745028614997864,0.021738409996032715,0.4602129262405029,0.028140783309936523,3,0.030000000000000027,4.49,False,84.0,False,lag +0.32s below 1.0s
TrPnW5kLAyQ__93_513,0.31,0.8515862822532654,0.9162248373031616,0.06463855504989624,0.4355295186405935,0.09208762645721436,3,4.7,0.31,True,420.0,False,lag +0.31s below 1.0s
PCUA2q2C-2A__45_107,0.21,0.9763728380203247,0.9896398782730103,0.013267040252685547,0.5615164556834292,0.02324092388153076,3,0.16,0.16,True,62.0,False,lag +0.21s below 1.0s
