model,clip_id,script,der,jer,der_miss_sec,der_fa_sec,der_confusion_sec,der_total_sec,n_speakers_ref,n_speakers_hyp,speaker_count_error,speaker_count_correct,der_correct_sec
community-1,TrPnW5kLAyQ__93_513,Devanagari,0.22818082761067368,0.2564288970809445,60.195000000000114,19.7950000000001,10.05699999999991,394.6299999999999,4,4,0,1,324.3779999999999
community-1,U_EHjxThUgc__181_289,Bengali,0.1556703786191538,0.19254658669495076,7.4420000000000135,4.711999999999996,5.320000000000004,112.25,3,3,0,1,99.48799999999997
community-1,VHlIFsHPWbk__23_470,Oriya,0.09485939658630015,0.1259764760394608,14.807999999999783,11.649999999999913,16.11300000000008,448.78,4,4,0,1,417.8590000000001
community-1,VKY0uuZ6Om8__575_935,Devanagari,0.40948656189635757,0.4994315040678256,75.7709999999999,39.16399999999982,56.77500000000006,419.3300000000004,3,3,0,1,286.78400000000033
community-1,VY_4x1scS-Y__13_121,Tamil,0.31148212173596584,0.3820676238021794,9.056000000000008,4.347999999999995,20.831000000000003,109.91,4,4,0,1,80.02299999999997
pyannote-3.1,0AEEA8NyVwY__11_609,Devanagari,0.15222438851471004,0.15250695840759335,68.01299999999966,15.664999999999718,2.207000000000064,564.2000000000003,3,3,0,1,493.9800000000006
pyannote-3.1,0SoItGfM_sY__7_88,Kannada,0.4331377879524966,0.6202659358781333,10.352999999999987,7.963000000000001,11.955999999999996,69.89,5,5,0,1,47.58100000000001
pyannote-3.1,0VEwL9XZ0LY__261_557,Devanagari,0.20686067811841197,0.2221998972642379,30.628000000000043,16.85500000000012,12.36799999999997,289.33,2,2,0,1,246.33399999999995
pyannote-3.1,0esIFSOAcFs__0_913,Gujarati,0.06074917862700945,0.07318437998066146,42.56899999999959,4.025999999999648,9.615000000000094,925.2800000000004,3,3,0,1,873.0960000000007
pyannote-3.1,0p6cktLGIfY__12_930,Gujarati,0.40374593226467315,0.581871528671788,130.1819999999998,113.81699999999978,90.98899999999975,829.7,6,5,-1,0,608.5290000000006
pyannote-3.1,13VBh0Z6QmE__0_904,Tamil,0.10711660729584623,0.15364492102816504,38.36699999999924,10.919000000000192,45.734999999999765,887.0799999999992,4,5,1,0,802.9780000000002
pyannote-3.1,1LFl5JEipII__0_597,Bengali,0.2203906849782477,0.43330105893505894,36.56500000000027,29.77699999999966,62.840000000000046,586.1500000000003,5,4,-1,0,486.7450000000002
pyannote-3.1,2HGP34TNvjg__84_194,Oriya,0.3048881852364933,0.3675251812531709,12.469000000000017,7.292000000000004,11.050999999999993,101.06,2,2,0,1,77.53999999999999
pyannote-3.1,2LN6vb7EBn0__98_394,Tamil,0.2814585003660191,0.33166632096292475,27.49599999999998,24.02300000000007,29.222999999999843,286.86999999999995,3,3,0,1,230.15100000000015
pyannote-3.1,2T4pjueLrsk__677_1290,Gujarati,0.43311688311688384,0.5973403678307658,106.02900000000007,58.791000000000246,70.63100000000004,543.6199999999999,4,3,-1,0,366.95999999999987
pyannote-3.1,2gGHQgj9yno__0_99,Gujarati,0.3276776015641976,0.6460838315770945,9.916000000000011,9.709000000000007,10.541000000000018,92.06,4,2,-2,0,71.60299999999998
pyannote-3.1,2iMXYxBTwbM__339_401,Devanagari,0.8109768907563022,0.811863360704051,15.279000000000003,14.724999999999982,16.31900000000001,57.12000000000001,3,2,-1,0,25.522000000000002
pyannote-3.1,37dND_0r6S8__60_222,Tamil,0.4466733811244743,0.5212799766889993,17.946999999999953,17.454000000000033,39.993000000000016,168.78999999999996,2,2,0,1,110.85
pyannote-3.1,4Qg2jWP6_T0__136_202,Gurmukhi,0.6942739414606426,0.7491091476371995,14.47600000000001,10.432,23.955000000000013,70.38000000000001,3,2,-1,0,31.94899999999999
pyannote-3.1,6-726qTlYeg__102_162,Malayalam,0.4357932519741564,0.48890984415928185,8.056999999999999,9.245999999999992,13.050000000000008,69.65,2,2,0,1,48.54299999999999
pyannote-3.1,6ZeRgvDHwcI__6_100,Gujarati,0.6434281200631907,0.6005215831519258,24.731000000000005,9.06999999999999,6.9279999999999955,63.30000000000003,2,2,0,1,31.64100000000003
pyannote-3.1,6f6TLzlP8Wk__82_144,Gurmukhi,0.5685005943284093,0.6038116325230896,6.926000000000011,8.416000000000004,18.13700000000001,58.89000000000001,2,2,0,1,33.826999999999984
pyannote-3.1,7L4gi7Ncc0s__90_148,Malayalam,0.16075085324232088,0.2372273582874186,3.5000000000000013,2.4380000000000024,3.0109999999999992,55.669999999999995,2,2,0,1,49.159
pyannote-3.1,7WhVNRHbjIY__91_1089,Tamil,0.11672503938904333,0.18320615971159998,24.261999999999997,29.106999999999985,62.944,996.4699999999998,5,5,0,1,909.2639999999998
pyannote-3.1,7YfsQPYY-W0__351_411,Oriya,0.5754708171206226,0.6261877332885389,9.729999999999993,7.1579999999999995,20.086000000000006,64.25,2,2,0,1,34.434
pyannote-3.1,7c9ePKgqams__299_869,Telugu,0.33426950046989123,0.6038167227705743,34.191000000000194,19.436999999999927,131.3300000000001,553.32,4,3,-1,0,387.7989999999998
pyannote-3.1,7k-xDqNjESc__73_981,Malayalam,0.3494435098430251,0.6743251139601228,115.55300000000015,53.71700000000038,144.38700000000017,897.5899999999996,4,2,-2,0,637.6499999999992
