system,clip_id,script,n_ref_words,n_hyp,wer,cpwer,di_cpwer,cp_minus_di_cp,wder,hits,sub,del,ins,wder_num,wder_denom,cp_mapping,attribution_diar,errors,cphits,cpsub,cpdel,cpins,cpn_ref_words,cperrors,di_cphits,di_cpsub,di_cpdel,di_cpins,di_cpn_ref_words,di_cperrors,wder_correct_wrong_spk,wder_sub_wrong_spk
sarvam-saaras-v3@reverb-v2,KPkRi3GM7fs__47_642,Oriya,1733,1692,0.24350836699365264,0.3150605885747259,0.24350836699365264,0.07155222158107327,0.04830917874396135,1347,309,77,36,80,1656,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",reverb-v2,422,1287,305,141,100,1733,546,1347,309,77,36,1733,422,60,20
sarvam-saaras-v3@reverb-v2,Kdi-ECuOaKg__2_78,Malayalam,89,90,0.21348314606741572,0.7752808988764045,0.21348314606741572,0.5617977528089888,0.3333333333333333,73,14,2,3,29,87,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_03': 'Speaker_D', 'SPEAKER_04': 'Speaker_E', 'SPEAKER_05': 'Speaker_F'}",reverb-v2,19,50,10,29,30,89,69,73,14,2,3,89,19,23,6
sarvam-saaras-v3@reverb-v2,L7xRazDdtgw__19_83,Gujarati,101,100,0.1485148514851485,1.0198019801980198,0.1485148514851485,0.8712871287128713,0.4895833333333333,90,6,5,4,47,96,{'SPEAKER_00': 'Speaker_B'},reverb-v2,15,46,6,49,48,101,103,90,6,5,4,101,15,43,4
sarvam-saaras-v3@reverb-v2,LBIWBxQ5H1s__90_1020,Malayalam,2313,2263,0.37137916126242976,0.4232598357111976,0.37137916126242976,0.051880674448767816,0.07829010566762729,1635,447,231,181,163,2082,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_03': 'Speaker_C', 'SPEAKER_00': 'Speaker_D'}",reverb-v2,859,1569,459,285,235,2313,979,1635,447,231,181,2313,859,97,66
sarvam-saaras-v3@reverb-v2,LK23jX9tgZM__59_221,Gujarati,548,470,0.2864963503649635,0.4416058394160584,0.2864963503649635,0.1551094890510949,0.1568627450980392,402,57,89,11,72,459,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_C'}",reverb-v2,157,362,52,134,56,548,242,402,57,89,11,548,157,54,18
sarvam-saaras-v3@reverb-v2,LctYmmr9-Vg__0_61,Devanagari,133,134,0.15037593984962405,0.15037593984962405,0.15037593984962405,0.0,0.0,116,15,2,3,0,131,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",reverb-v2,20,116,15,2,3,133,20,116,15,2,3,133,20,0,0
sarvam-saaras-v3@reverb-v2,LqQHdo7t5Ps__198_498,Devanagari,677,612,0.18906942392909898,0.23929098966026588,0.18906942392909898,0.0502215657311669,0.03482587064676617,558,45,74,9,21,603,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_01': 'Speaker_C'}",reverb-v2,128,541,45,91,26,677,162,558,45,74,9,677,128,16,5
sarvam-saaras-v3@reverb-v2,Md3p6RTanBg__315_426,Bengali,284,269,0.1795774647887324,0.2147887323943662,0.1795774647887324,0.035211267605633784,0.03409090909090909,238,26,20,5,9,264,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",reverb-v2,51,229,34,21,6,284,61,238,26,20,5,284,51,9,0
sarvam-saaras-v3@reverb-v2,MmtWBUK2DKE__0_310,Devanagari,1083,1058,0.17266851338873498,0.3785780240073869,0.17266851338873498,0.2059095106186519,0.13405088062622308,932,90,61,36,137,1022,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_02': 'Speaker_D', 'SPEAKER_03': 'Speaker_E'}",reverb-v2,187,813,105,165,140,1083,410,932,90,61,36,1083,187,126,11
sarvam-saaras-v3@reverb-v2,NLgHpYyf5bY__313_383,Devanagari,240,229,0.15833333333333333,0.15833333333333333,0.15833333333333333,0.0,0.0,208,15,17,6,0,223,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B'}",reverb-v2,38,208,15,17,6,240,38,208,15,17,6,240,38,0,0
