system,clip_id,script,n_ref_words,n_hyp,wer,cpwer,di_cpwer,cp_minus_di_cp,wder,hits,sub,del,ins,errors,cphits,cpsub,cpdel,cpins,cpn_ref_words,cperrors,cp_mapping,di_cphits,di_cpsub,di_cpdel,di_cpins,di_cpn_ref_words,di_cperrors,wder_num,wder_denom,wder_correct_wrong_spk,wder_sub_wrong_spk
sarvam-saaras-v3@reverb-v2,8pkp-lpMJP0__326_926,Telugu,1482,1341,0.4224021592442645,0.6632928475033738,0.4224021592442645,0.2408906882591093,0.24610591900311526,913,371,198,57,626,744,352,386,245,1482,983,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_D', 'SPEAKER_02': 'Speaker_E', 'SPEAKER_03': 'Speaker_H'}",913,371,198,57,1482,626,316,1284,174,142
sarvam-saaras-v3@reverb-v2,8r2Nltl0W4o__259_320,Gurmukhi,253,200,0.32806324110671936,0.4189723320158103,0.32806324110671936,0.09090909090909094,0.1065989847715736,173,24,56,3,83,151,45,57,4,253,106,{'SPEAKER_00': 'Speaker_A'},173,24,56,3,253,83,21,197,19,2
sarvam-saaras-v3@reverb-v2,90uAd6xpTPo__16_408,Devanagari,1212,1217,0.08828382838283828,0.09653465346534654,0.08828382838283828,0.008250825082508254,0.010933557611438183,1133,56,23,28,107,1129,54,29,34,1212,117,"{'SPEAKER_03': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_01': 'Speaker_C', 'SPEAKER_00': 'Speaker_D'}",1133,56,23,28,1212,107,13,1189,10,3
sarvam-saaras-v3@reverb-v2,9Aw8kg8w5Xo__0_83,Telugu,199,203,0.19095477386934673,0.22110552763819097,0.19095477386934673,0.03015075376884424,0.046632124352331605,171,22,6,10,38,166,26,7,11,199,44,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_C'}",171,22,6,10,199,38,9,193,6,3
sarvam-saaras-v3@reverb-v2,9_GMxc_JjyI__236_368,Kannada,361,350,0.21052631578947367,0.3296398891966759,0.21052631578947367,0.11911357340720224,0.07761194029850746,300,35,26,15,76,279,34,48,37,361,119,{'SPEAKER_00': 'Speaker_B'},300,35,26,15,361,76,26,335,21,5
sarvam-saaras-v3@reverb-v2,ARCKJrGkITw__14_496,Telugu,1375,1271,0.26981818181818185,0.40145454545454545,0.26981818181818185,0.1316363636363636,0.10355987055016182,1039,197,139,35,371,955,184,236,132,1375,552,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_01': 'Speaker_C'}",1039,197,139,35,1375,371,128,1236,100,28
sarvam-saaras-v3@reverb-v2,ARZl7LT0UC0__73_130,Telugu,150,157,0.26666666666666666,0.49333333333333335,0.26666666666666666,0.22666666666666668,0.23943661971830985,125,17,8,15,40,105,23,22,29,150,74,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_02': 'Speaker_C'}",125,17,8,15,150,40,34,142,24,10
sarvam-saaras-v3@reverb-v2,A_dohDOK6Ic__0_600,Devanagari,1829,1830,0.1082558775287042,0.1202843083652269,0.1082558775287042,0.012028430836522691,0.008913649025069638,1666,129,34,35,198,1655,129,45,46,1829,220,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_01': 'Speaker_C'}",1666,129,34,35,1829,198,16,1795,12,4
sarvam-saaras-v3@reverb-v2,B2ScTgeIIck__117_180,Oriya,174,145,0.3160919540229885,0.367816091954023,0.3160919540229885,0.051724137931034475,0.07092198581560284,123,18,33,4,55,116,23,35,6,174,64,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B'}",123,18,33,4,174,55,10,141,6,4
sarvam-saaras-v3@reverb-v2,BGAAfht5dYw__0_612,Gujarati,2067,1962,0.2897919690372521,0.4455732946298984,0.2897919690372521,0.15578132559264635,0.16151022548505506,1523,384,160,55,599,1332,444,291,186,2067,921,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_03': 'Speaker_B', 'SPEAKER_01': 'Speaker_C', 'SPEAKER_00': 'Speaker_D'}",1523,384,160,55,2067,599,308,1907,198,110
sarvam-saaras-v3@reverb-v2,BYLcUGNB_zM__20_1387,Kannada,3270,3341,0.25902140672782875,0.28103975535168196,0.25902140672782875,0.022018348623853212,0.01977401129943503,2578,608,84,155,847,2539,614,117,188,3270,919,"{'SPEAKER_05': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_03': 'Speaker_D'}",2578,608,84,155,3270,847,63,3186,41,22
sarvam-saaras-v3@reverb-v2,Bngfppo1QtA__28_927,Telugu,2344,2327,0.3967576791808874,0.515358361774744,0.3967576791808874,0.11860068259385664,0.1510051425899953,1602,537,205,188,930,1408,647,289,272,2344,1208,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_03': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_00': 'Speaker_D', 'SPEAKER_04': 'Speaker_E'}",1602,537,205,188,2344,930,323,2139,178,145
